74.125,39.625
74.375,39.625
74.625,39.625
95.125,39.625
95.375,39.625
95.625,39.625
96.375,39.625
96.875,39.625
97.125,39.625
97.375,39.625
97.625,39.625
97.875,39.625
73.625,39.375
73.875,39.375
74.125,39.375
74.375,39.375
74.625,39.375
93.625,39.375
93.875,39.375
94.125,39.375
94.375,39.375
94.625,39.375
94.875,39.375
95.125,39.375
95.375,39.375
95.625,39.375
95.875,39.375
96.125,39.375
96.375,39.375
96.625,39.375
96.875,39.375
97.125,39.375
97.375,39.375
97.625,39.375
97.875,39.375
98.125,39.375
98.375,39.375
73.875,39.125
74.125,39.125
74.375,39.125
74.625,39.125
74.875,39.125
75.125,39.125
90.375,39.125
90.625,39.125
91.125,39.125
91.375,39.125
91.625,39.125
91.875,39.125
92.125,39.125
92.625,39.125
92.875,39.125
93.125,39.125
93.375,39.125
93.625,39.125
93.875,39.125
94.125,39.125
94.375,39.125
94.625,39.125
94.875,39.125
95.125,39.125
95.375,39.125
95.625,39.125
95.875,39.125
96.125,39.125
96.375,39.125
96.625,39.125
96.875,39.125
97.125,39.125
97.375,39.125
97.625,39.125
97.875,39.125
98.125,39.125
98.375,39.125
98.625,39.125
98.875,39.125
99.125,39.125
73.875,38.875
74.125,38.875
74.375,38.875
74.625,38.875
74.875,38.875
75.125,38.875
75.375,38.875
88.625,38.875
88.875,38.875
89.125,38.875
89.375,38.875
89.625,38.875
89.875,38.875
90.125,38.875
90.375,38.875
90.625,38.875
90.875,38.875
91.125,38.875
91.375,38.875
91.625,38.875
91.875,38.875
92.125,38.875
92.375,38.875
92.625,38.875
92.875,38.875
93.125,38.875
93.375,38.875
93.625,38.875
93.875,38.875
94.125,38.875
94.375,38.875
94.625,38.875
94.875,38.875
95.125,38.875
95.375,38.875
95.625,38.875
95.875,38.875
96.125,38.875
96.375,38.875
96.625,38.875
96.875,38.875
97.125,38.875
97.375,38.875
97.625,38.875
97.875,38.875
98.125,38.875
98.375,38.875
98.625,38.875
98.875,38.875
99.125,38.875
99.375,38.875
73.875,38.625
74.375,38.625
74.625,38.625
74.875,38.625
75.125,38.625
75.375,38.625
75.625,38.625
75.875,38.625
88.375,38.625
88.625,38.625
88.875,38.625
89.125,38.625
89.375,38.625
89.625,38.625
89.875,38.625
90.125,38.625
90.375,38.625
90.625,38.625
90.875,38.625
91.125,38.625
91.375,38.625
91.625,38.625
91.875,38.625
92.125,38.625
92.375,38.625
92.625,38.625
92.875,38.625
93.125,38.625
93.375,38.625
93.625,38.625
93.875,38.625
94.125,38.625
94.375,38.625
94.625,38.625
94.875,38.625
95.125,38.625
95.375,38.625
95.625,38.625
95.875,38.625
96.125,38.625
96.375,38.625
96.625,38.625
96.875,38.625
97.125,38.625
97.375,38.625
97.625,38.625
97.875,38.625
98.125,38.625
98.375,38.625
98.625,38.625
98.875,38.625
99.125,38.625
99.375,38.625
99.625,38.625
99.875,38.625
74.875,38.375
75.125,38.375
75.375,38.375
75.625,38.375
75.875,38.375
76.125,38.375
76.375,38.375
87.875,38.375
88.125,38.375
88.375,38.375
88.625,38.375
88.875,38.375
89.125,38.375
89.375,38.375
89.625,38.375
89.875,38.375
90.125,38.375
90.375,38.375
90.625,38.375
90.875,38.375
91.125,38.375
91.375,38.375
91.625,38.375
91.875,38.375
92.125,38.375
92.375,38.375
92.625,38.375
92.875,38.375
93.125,38.375
93.375,38.375
93.625,38.375
93.875,38.375
94.125,38.375
94.375,38.375
94.625,38.375
94.875,38.375
95.125,38.375
